event_time,event_mag,station,phase,pn_time,confidence,matched,residual
2023-09-08 17:24:38.390,4.99,AONC,P,2023-09-08 17:24:58.556858,0.6957479,True,0.056858
2023-09-08 17:24:38.390,4.99,BAKR,P,2023-09-08 17:24:56.994199,0.50826037,True,0.084199
2023-09-08 17:24:38.390,4.99,BAKR,S,2023-09-08 17:25:11.084199,0.5067858,False,
2023-09-08 17:24:38.390,4.99,BAYL,P,2023-09-08 17:25:03.504200,0.670313,False,
2023-09-08 17:24:38.390,4.99,BAYL,S,2023-09-08 17:25:24.644200,0.30062157,False,
2023-09-08 17:24:38.390,4.99,BCCR,P,2023-09-08 17:24:59.084200,0.73391974,True,0.1942
2023-09-08 17:24:38.390,4.99,BCCR,S,2023-09-08 17:25:15.004200,0.3816953,False,
2023-09-08 17:24:38.390,4.99,BIGV,P,2023-09-08 17:24:44.674200,0.83283746,True,0.0342
2023-09-08 17:24:38.390,4.99,BIGV,S,2023-09-08 17:24:49.534200,0.67062116,True,-0.0658
2023-09-08 17:24:38.390,4.99,BIGV,S,2023-09-08 17:25:16.634200,0.7014934,False,
2023-09-08 17:24:38.390,4.99,BJES,P,2023-09-08 17:25:32.270000,0.6552833,False,
2023-09-08 17:24:38.390,4.99,BLAS,P,2023-09-08 17:25:07.604201,0.6555678,True,0.034201
2023-09-08 17:24:38.390,4.99,BOYR,P,2023-09-08 17:25:12.014199,0.8008784,True,0.254199
2020-12-01 23:32:56.420,4.96,BUCR,P,2020-12-01 23:33:27.595000,0.4489671,True,-0.295
2020-12-01 23:32:56.420,4.96,BUCR,S,2020-12-01 23:33:50.585000,0.47561193,False,
2020-12-01 23:32:56.420,4.96,CGRV,P,2020-12-01 23:33:23.829200,0.73664844,False,
2020-12-01 23:32:56.420,4.96,CGRV,S,2020-12-01 23:33:43.959200,0.5920662,False,
2020-12-01 23:32:56.420,4.96,CMB,P,2020-12-01 23:33:28.614539,0.6104921,True,-0.035461
2020-12-01 23:32:56.420,4.96,HELL,P,2020-12-01 23:33:27.439200,0.6571715,False,
2020-12-01 23:32:56.420,4.96,HELL,S,2020-12-01 23:33:28.449200,0.3600955,False,
2020-12-01 23:32:56.420,4.96,HELL,S,2020-12-01 23:33:50.479200,0.5257287,False,
2020-12-01 23:32:56.420,4.96,KARE,P,2020-12-01 23:33:31.525000,0.6200784,True,0.105
2020-12-01 23:32:56.420,4.96,KARE,S,2020-12-01 23:33:33.205000,0.33369863,False,
2020-12-01 23:32:56.420,4.96,KARE,S,2020-12-01 23:33:58.405000,0.44843924,False,
2020-12-01 23:32:56.420,4.96,LEGD,P,2020-12-01 23:33:30.785000,0.5403453,True,-0.065
2020-12-01 23:32:56.420,4.96,OVRO,P,2020-12-01 23:33:15.421860,0.6933641,True,-0.02814
2020-12-01 23:32:56.420,4.96,OVRO,S,2020-12-01 23:33:29.281860,0.42682385,False,
2020-12-01 23:32:56.420,4.96,TOLH,P,2020-12-01 23:33:26.549200,0.7649832,True,0.1392
2020-12-01 23:32:56.420,4.96,TOLH,S,2020-12-01 23:33:48.619200,0.6434314,False,
2020-12-14 21:20:10.880,4.81,BUCR,P,2020-12-14 21:20:40.990000,0.7380806,True,-0.04
2020-12-14 21:20:10.880,4.81,BUCR,S,2020-12-14 21:20:44.260000,0.41948333,False,
2020-12-14 21:20:10.880,4.81,CGRV,P,2020-12-14 21:20:37.744200,0.5539794,False,
2020-12-14 21:20:10.880,4.81,CGRV,P,2020-12-14 21:20:56.484200,0.39526224,False,
2020-12-14 21:20:10.880,4.81,CGRV,S,2020-12-14 21:20:56.614200,0.35383767,False,
2020-12-14 21:20:10.880,4.81,CMB,P,2020-12-14 21:20:42.374538,0.5175427,False,
2020-12-14 21:20:10.880,4.81,CMB,S,2020-12-14 21:21:06.974538,0.3746822,False,
2020-12-14 21:20:10.880,4.81,HELL,P,2020-12-14 21:20:40.984200,0.7816361,True,0.0442
2020-12-14 21:20:10.880,4.81,HELL,S,2020-12-14 21:21:03.014200,0.48149422,False,
2020-12-14 21:20:10.880,4.81,KARE,P,2020-12-14 21:20:45.470000,0.33516464,False,
2020-12-14 21:20:10.880,4.81,KARE,P,2020-12-14 21:20:46.160000,0.31470793,True,0.07
2020-12-14 21:20:10.880,4.81,LEGD,P,2020-12-14 21:20:44.260000,0.53152186,False,
2020-12-14 21:20:10.880,4.81,LEGD,S,2020-12-14 21:21:10.130000,0.45238227,False,
2020-12-14 21:20:10.880,4.81,LIND,P,2020-12-14 21:20:45.550000,0.7538991,True,0.04
2020-12-14 21:20:10.880,4.81,OVRO,P,2020-12-14 21:20:28.976859,0.84934247,True,-0.013141
2020-12-14 21:20:10.880,4.81,OVRO,S,2020-12-14 21:20:42.376859,0.57056934,False,
2020-12-03 05:15:29.760,4.78,BUCR,P,2020-12-03 05:16:00.625000,0.69650745,True,-0.015
2020-12-03 05:15:29.760,4.78,BUCR,S,2020-12-03 05:16:02.895000,0.30099255,False,
2020-12-03 05:15:29.760,4.78,BUCR,S,2020-12-03 05:16:24.335000,0.47345018,False,
2020-12-03 05:15:29.760,4.78,CGRV,P,2020-12-03 05:15:57.299200,0.9093791,False,
2020-12-03 05:15:29.760,4.78,CMB,P,2020-12-03 05:16:01.979537,0.7193986,True,-0.000463
2020-12-03 05:15:29.760,4.78,CMB,S,2020-12-03 05:16:26.969537,0.5353091,False,
2020-12-03 05:15:29.760,4.78,HELL,P,2020-12-03 05:16:00.499199,0.7827918,True,0.029199
2020-12-03 05:15:29.760,4.78,HELL,S,2020-12-03 05:16:23.249199,0.53079003,False,
2020-12-03 05:15:29.760,4.78,KARE,P,2020-12-03 05:16:04.425000,0.45582402,False,
2020-12-03 05:15:29.760,4.78,LEGD,P,2020-12-03 05:16:04.105000,0.6228875,True,0.035
2020-12-03 05:15:29.760,4.78,LEGD,S,2020-12-03 05:16:30.845000,0.33597773,False,
2020-12-03 05:15:29.760,4.78,OVRO,S,2020-12-03 05:15:23.031860,0.44436988,False,
2020-12-03 05:15:29.760,4.78,OVRO,P,2020-12-03 05:15:48.531860,0.7024577,True,0.00186
2020-12-03 05:15:29.760,4.78,OVRO,S,2020-12-03 05:16:02.391860,0.49232814,False,
2020-12-03 05:15:29.760,4.78,TOLH,P,2020-12-03 05:15:59.979200,0.87524754,True,0.0692
2020-12-03 05:15:29.760,4.78,TOLH,S,2020-12-03 05:16:21.889200,0.6247385,False,
2020-05-15 11:25:43.060,4.78,CMB,P,2020-05-15 11:26:17.619536,0.82078195,False,
2020-05-15 11:25:43.060,4.78,CMB,P,2020-05-15 11:26:38.419536,0.8548062,False,
2020-05-15 11:25:43.060,4.78,CMB,S,2020-05-15 11:27:03.929536,0.34774366,False,
2020-05-15 11:25:43.060,4.78,KARE,P,2020-05-15 11:26:02.125000,0.83938044,False,
2020-05-15 11:25:43.060,4.78,KARE,P,2020-05-15 11:26:18.795000,0.5759839,True,-0.095
2020-05-15 11:25:43.060,4.78,KARE,P,2020-05-15 11:26:37.735000,0.7373724,False,
2020-05-15 11:25:43.060,4.78,KCC,P,2020-05-15 11:26:07.619538,0.4080795,True,-0.070462
2020-05-15 11:25:43.060,4.78,KCC,P,2020-05-15 11:26:25.529538,0.30517763,False,
2020-05-15 11:25:43.060,4.78,KCC,S,2020-05-15 11:26:47.259538,0.586067,False,
2020-05-15 11:25:43.060,4.78,LIND,P,2020-05-15 11:26:19.275000,0.77853596,True,-0.065
2020-05-15 11:25:43.060,4.78,LIND,P,2020-05-15 11:26:38.135000,0.36814597,False,
2020-05-15 11:25:43.060,4.78,LIND,S,2020-05-15 11:26:39.975000,0.390487,False,
2020-05-15 11:25:43.060,4.78,LIND,S,2020-05-15 11:27:06.965000,0.34611797,False,
2020-05-15 11:25:43.060,4.78,OVRO,P,2020-05-15 11:26:01.241860,0.70855904,True,0.08186
2020-05-15 11:25:43.060,4.78,OVRO,S,2020-05-15 11:26:14.641860,0.3874311,False,
2020-05-15 11:25:43.060,4.78,OVRO,P,2020-05-15 11:26:21.441860,0.92410636,False,
2020-05-15 11:25:43.060,4.78,OVRO,S,2020-05-15 11:26:35.601860,0.3573177,False,
2020-12-12 07:50:52.940,4.77,BUCR,P,2020-12-12 07:51:23.470000,0.43741524,False,
2020-12-12 07:50:52.940,4.77,BUCR,P,2020-12-12 07:51:24.520000,0.57795715,True,0.01
2020-12-12 07:50:52.940,4.77,BUCR,S,2020-12-12 07:51:30.770000,0.41311252,False,
2020-12-12 07:50:52.940,4.77,BUCR,S,2020-12-12 07:51:52.220000,0.5111829,False,
2020-12-12 07:50:52.940,4.77,CGRV,P,2020-12-12 07:51:20.134200,0.76733977,False,
2020-12-12 07:50:52.940,4.77,CGRV,S,2020-12-12 07:51:44.404200,0.3125839,False,
2020-12-12 07:50:52.940,4.77,CMB,P,2020-12-12 07:51:26.604537,0.75544095,False,
2020-12-12 07:50:52.940,4.77,CMB,P,2020-12-12 07:51:51.214537,0.37477112,False,
2020-12-12 07:50:52.940,4.77,CMB,S,2020-12-12 07:51:56.224537,0.41633818,False,
2020-12-12 07:50:52.940,4.77,HELL,P,2020-12-12 07:51:22.954200,0.45417416,False,
2020-12-12 07:50:52.940,4.77,HELL,S,2020-12-12 07:51:29.494200,0.7249918,False,
2020-12-12 07:50:52.940,4.77,HELL,S,2020-12-12 07:51:50.904200,0.42852473,False,
2020-12-12 07:50:52.940,4.77,KARE,S,2020-12-12 07:51:34.390000,0.5185275,False,
2020-12-12 07:50:52.940,4.77,KARE,S,2020-12-12 07:51:59.980000,0.4636048,False,
2020-12-12 07:50:52.940,4.77,LEGD,P,2020-12-12 07:51:26.650000,0.4875964,True,-0.07
2020-12-12 07:50:52.940,4.77,LEGD,S,2020-12-12 07:51:58.430000,0.38960528,False,
2020-12-12 07:50:52.940,4.77,LIND,P,2020-12-12 07:51:27.650000,0.4926337,True,-0.06
2020-12-12 07:50:52.940,4.77,LIND,S,2020-12-12 07:51:34.660000,0.69488394,False,
2020-12-12 07:50:52.940,4.77,LIND,P,2020-12-12 07:51:54.870000,0.617303,False,
2020-12-12 07:50:52.940,4.77,OVRO,P,2020-12-12 07:51:11.346860,0.7562357,True,0.01686
2020-12-12 07:50:52.940,4.77,OVRO,S,2020-12-12 07:51:30.286860,0.627075,False,
2020-03-21 01:33:36.220,4.71,BUCR,P,2020-03-21 01:34:02.395000,0.881039,True,-0.235
2020-03-21 01:33:36.220,4.71,BUCR,S,2020-03-21 01:34:21.565000,0.43151855,False,
2020-03-21 01:33:36.220,4.71,CMB,P,2020-03-21 01:33:57.384538,0.93927765,True,0.034538
2020-03-21 01:33:36.220,4.71,CMB,S,2020-03-21 01:34:12.784538,0.54254985,False,
2020-03-21 01:33:36.220,4.71,DANT,P,2020-03-21 01:34:11.681860,0.5992905,False,
2020-03-21 01:33:36.220,4.71,JEPS,S,2020-03-21 01:34:36.065000,0.54628444,False,
2020-03-21 01:33:36.220,4.71,KCC,P,2020-03-21 01:34:08.194538,0.87831146,True,0.064538
2020-03-21 01:33:36.220,4.71,KCC,S,2020-03-21 01:34:33.714538,0.66842973,False,
2020-03-21 01:33:36.220,4.71,ORV,P,2020-03-21 01:34:01.684538,0.8327984,True,0.104538
2020-03-21 01:33:36.220,4.71,QRDG,P,2020-03-21 01:34:10.795000,0.6447351,True,0.125
2020-03-21 01:33:36.220,4.71,QRDG,S,2020-03-21 01:34:18.075000,0.34116656,False,
2021-10-25 23:42:35.860,4.65,FORD,P,2021-10-25 23:42:54.701860,0.77396435,True,0.01186
2021-10-25 23:42:35.860,4.65,FORD,S,2021-10-25 23:43:10.231860,0.3120027,False,
2021-10-25 23:42:35.860,4.65,HAS2,P,2021-10-25 23:42:48.309200,0.9176193,True,0.2192
2021-10-25 23:42:35.860,4.65,HAS2,S,2021-10-25 23:42:57.259200,0.6481716,False,
2021-10-25 23:42:35.860,4.65,HULI,P,2021-10-25 23:42:41.451860,0.9331081,True,0.08186
2021-10-25 23:42:35.860,4.65,HULI,S,2021-10-25 23:42:45.641860,0.70058227,True,0.22186
2021-10-25 23:42:35.860,4.65,JRSC,P,2021-10-25 23:43:04.909538,0.4561877,True,0.059538
2021-10-25 23:42:35.860,4.65,KARE,P,2021-10-25 23:43:04.405000,0.66501737,False,
2021-07-08 23:33:40.900,4.63,BUCR,P,2021-07-08 23:33:58.260000,0.9211774,True,0.03
2021-07-08 23:33:40.900,4.63,BUCR,S,2021-07-08 23:35:27.130000,0.36404642,False,
2021-07-08 23:33:40.900,4.63,CMB,P,2021-07-08 23:33:55.759537,0.924037,True,-0.000463
2021-07-08 23:33:40.900,4.63,CMB,S,2021-07-08 23:34:06.319537,0.8317386,False,
2021-07-08 23:33:40.900,4.63,HELL,P,2021-07-08 23:34:14.314200,0.89442337,True,0.0042
2021-07-08 23:33:40.900,4.63,HELL,P,2021-07-08 23:34:38.534200,0.38732266,False,
2021-07-08 23:33:40.900,4.63,JEPS,P,2021-07-08 23:34:14.760000,0.8608466,True,0.06
2021-07-08 23:33:40.900,4.63,JEPS,S,2021-07-08 23:34:40.120000,0.39185715,False,
2021-07-08 23:33:40.900,4.63,KARE,P,2021-07-08 23:34:14.890000,0.80309355,True,0.09
2021-07-08 23:33:40.900,4.63,KARE,S,2021-07-08 23:34:39.600000,0.41565442,False,
2021-05-07 04:35:14.150,4.63,AONC,P,2021-05-07 04:35:40.201860,0.84570587,True,0.03186
2021-05-07 04:35:14.150,4.63,BCCR,P,2021-05-07 04:35:29.764200,0.4502287,False,
2021-05-07 04:35:14.150,4.63,BCCR,P,2021-05-07 04:35:35.254200,0.85658866,True,0.0942
2021-05-07 04:35:14.150,4.63,BDM,P,2021-05-07 04:35:47.389538,0.7688954,True,0.089538
2021-05-07 04:35:14.150,4.63,BUCR,P,2021-05-07 04:35:45.020000,0.88865244,True,0.07
2021-05-07 04:35:14.150,4.63,CMB,P,2021-05-07 04:35:39.049537,0.89134645,True,0.069537
2021-05-07 04:35:14.150,4.63,CMB,P,2021-05-07 04:35:57.699537,0.33110395,False,
2021-05-07 04:35:14.150,4.63,DANT,P,2021-05-07 04:35:39.421860,0.7510835,True,0.14186
2021-05-07 04:35:14.150,4.63,EAGL,P,2021-05-07 04:35:36.064199,0.90854543,True,0.054199
2021-05-07 04:35:14.150,4.63,EAGL,S,2021-05-07 04:35:52.644199,0.41945863,False,
2021-05-07 04:35:14.150,4.63,GTSB,P,2021-05-07 04:35:45.204199,0.78877157,True,0.104199
2021-05-07 04:35:14.150,4.63,GTSB,S,2021-05-07 04:36:08.614199,0.46565253,False,
2021-07-09 01:46:00.400,4.55,BUCR,S,2021-07-09 01:45:53.500000,0.34467077,False,
2021-07-09 01:46:00.400,4.55,BUCR,S,2021-07-09 01:46:12.440000,0.5348035,False,
2021-07-09 01:46:00.400,4.55,BUCR,P,2021-07-09 01:46:18.210000,0.913044,True,0.05
2021-07-09 01:46:00.400,4.55,BUCR,S,2021-07-09 01:46:30.850000,0.732064,False,
2021-07-09 01:46:00.400,4.55,BUCR,P,2021-07-09 01:47:29.960000,0.7175024,False,
2021-07-09 01:46:00.400,4.55,CMB,P,2021-07-09 01:46:15.529541,0.9267753,True,0.009541
2021-07-09 01:46:00.400,4.55,CMB,P,2021-07-09 01:46:26.329541,0.37599877,False,
2021-07-09 01:46:00.400,4.55,CMB,S,2021-07-09 01:46:26.379541,0.5332865,False,
2021-07-09 01:46:00.400,4.55,CMB,P,2021-07-09 01:47:14.769541,0.91206145,False,
2021-07-09 01:46:00.400,4.55,CMB,S,2021-07-09 01:47:25.609541,0.68613386,False,
2021-07-09 01:46:00.400,4.55,HELL,S,2021-07-09 01:46:05.114200,0.74683225,False,
2021-07-09 01:46:00.400,4.55,HELL,P,2021-07-09 01:46:34.094200,0.7679882,True,-0.0758
2021-07-09 01:46:00.400,4.55,HELL,S,2021-07-09 01:46:58.644200,0.5813601,False,
2021-07-09 01:46:00.400,4.55,JEPS,P,2021-07-09 01:46:34.260000,0.77832425,True,0.08
2021-07-09 01:46:00.400,4.55,KARE,P,2021-07-09 01:46:34.750000,0.95138687,True,0.04
2020-04-11 16:22:50.940,4.55,BUCR,P,2020-04-11 16:23:12.320000,0.7265299,True,-0.12
2020-04-11 16:22:50.940,4.55,BUCR,P,2020-04-11 16:23:13.470000,0.3832711,False,
2020-04-11 16:22:50.940,4.55,BUCR,S,2020-04-11 16:23:27.500000,0.66295195,False,
2020-04-11 16:22:50.940,4.55,CMB,P,2020-04-11 16:23:14.574538,0.7988353,True,0.084538
2020-04-11 16:22:50.940,4.55,CMB,S,2020-04-11 16:23:31.554538,0.37949196,False,
2020-04-11 16:22:50.940,4.55,KARE,P,2020-04-11 16:23:19.860000,0.8289559,True,-0.01
2020-04-11 16:22:50.940,4.55,KARE,S,2020-04-11 16:23:41.220000,0.4938796,False,
2020-04-11 16:22:50.940,4.55,KCC,P,2020-04-11 16:23:06.854538,0.80820525,True,0.034538
2020-04-11 16:22:50.940,4.55,KCC,S,2020-04-11 16:23:18.204538,0.67466366,False,
2020-04-11 16:22:50.940,4.55,LIND,P,2020-04-11 16:23:22.170000,0.8063582,True,0.15
2020-04-11 16:22:50.940,4.55,LIND,S,2020-04-11 16:23:44.630000,0.3989029,False,
2020-04-11 16:22:50.940,4.55,OVRO,P,2020-04-11 16:23:08.336860,0.8413341,True,0.05686
2020-04-11 16:22:50.940,4.55,OVRO,S,2020-04-11 16:23:21.516860,0.65407157,False,
2020-05-15 11:18:14.480,4.54,CMB,P,2020-05-15 11:18:47.654537,0.5860106,False,
2020-05-15 11:18:14.480,4.54,KARE,S,2020-05-15 11:18:24.780000,0.35604268,False,
2020-05-15 11:18:14.480,4.54,KARE,P,2020-05-15 11:18:49.020000,0.8897384,False,
2020-05-15 11:18:14.480,4.54,KCC,P,2020-05-15 11:18:38.014538,0.703405,False,
2020-05-15 11:18:14.480,4.54,KCC,S,2020-05-15 11:18:55.784538,0.58519316,False,
2020-05-15 11:18:14.480,4.54,LIND,S,2020-05-15 11:18:25.100000,0.37578398,False,
2020-05-15 11:18:14.480,4.54,LIND,P,2020-05-15 11:18:49.470000,0.7070337,True,0.04
2020-05-15 11:18:14.480,4.54,OVRO,P,2020-05-15 11:18:31.176860,0.82470155,False,
2020-05-15 11:18:14.480,4.54,OVRO,S,2020-05-15 11:18:44.916860,0.33864248,False,
2023-09-19 04:13:10.380,4.53,AASB,P,2023-09-19 04:13:27.724200,0.79870784,True,0.0842
2023-09-19 04:13:10.380,4.53,AASB,S,2023-09-19 04:13:41.254200,0.57105815,False,
2023-09-19 04:13:10.380,4.53,ADAM,P,2023-09-19 04:13:36.084201,0.58168554,True,0.104201
2023-09-19 04:13:10.380,4.53,ALVW,P,2023-09-19 04:13:24.564200,0.8584802,True,0.0242
2023-09-19 04:13:10.380,4.53,ALVW,S,2023-09-19 04:13:26.594200,0.49453825,False,
2023-09-19 04:13:10.380,4.53,BKS,P,2023-09-19 04:13:26.824539,0.5677213,True,-0.265461
2023-09-19 04:13:10.380,4.53,BKS,S,2023-09-19 04:13:40.304539,0.39239582,False,
2023-09-19 04:13:10.380,4.53,BLUE,P,2023-09-19 04:13:30.954199,0.7749548,True,0.084199
2023-09-19 04:13:10.380,4.53,BLUE,S,2023-09-19 04:13:46.204199,0.39672825,False,
2020-05-15 11:52:06.890,4.5,CMB,S,2020-05-15 11:52:14.404536,0.5209252,False,
